exp 1,,,,exp 2,,,,exp 5,,,
,,,,,,,,,,,
angle [degree] \pm 0.05,A (scop) [V],A (voltmeter) [V],,state of latice (relative to the floor),A (scop) [V],A (voltmeter) [V],,max location [degree \pm 1],min location [degree \pm 1],,
0.00,7.2,7.20,,parallel ,7.6,7.20,,20,10,,
10.00,7.2,7.12,,perpendicular,0.0,0.30,,0,27,,
20.00,6.8,6.90,,without latice,7.2,7.10,,-20,-10,,
30.00,6.0,6.35,,,,,,,,,
40.00,5.6,5.78,,width and distance between the slits is 5 mm,,,,distance between the slit and the reciver is 48 +- 0.5 cm,,,
50.00,4.8,4.90,,,,,,distance between the center of each slit 10 +- 0.1 cm,,,
60.00,3.6,3.70,,,,,,slit's width 2 +- 0.1 cm,,,
70.00,1.6,1.80,,,,,,,,,
80.00,0.0,0.31,,,,,,,,,
90.00,0.0,0.00,,,,,,,,,
,,,,,,,,,,,
note: the voltmeter not stable at all,,,,,,,,,,,
